"module","name","title","description","type","format","constraints.maxLength","constraints.enum","constraints.pattern","constraints.maximum","encodings","ordered","missingValues","trueValues","falseValues","repo_link","cde_id","ontology_id","univar_stats.median","univar_stats.mean","univar_stats.std","univar_stats.min","univar_stats.max","univar_stats.mode","univar_stats.count","univar_stats.twenty_five_percentile","univar_stats.seventy_five_percentile","univar_stats.cat_marginals"
"demographics","study_id","Study ID","Study ID","string","","","","","","","","","","","","","","","","","","","","","","",""
"demographics","date_enrolled","Date subject signed consent","Demographic Characteristics: Date subject signed consent","date","any","","","","","","","","","","","","","","","","","","","","","",""
"demographics","first_name","First Name","Demographic Characteristics: First Name","string","","","","","","","","","","","","","","","","","","","","","","",""
"demographics","last_name","Last Name","Demographic Characteristics: Last Name","string","","","","","","","","","","","","","","","","","","","","","","",""
"demographics","address","Street, City, State, ZIP","Contact Information: Street, City, State, ZIP","string","","","","","","","","","","","","","","","","","","","","","","",""
"demographics","telephone_1","Phone number","Contact Information: Phone number","string","","","","^[0-9]{3}-[0-9]{3}-[0-9]{4}$","","","","","","","","","","","","","","","","","","",""
"demographics","telephone_2","Second phone number","Contact Information: Second phone number","string","","","","^[0-9]{3}-[0-9]{3}-[0-9]{4}$","","","","","","","","","","","","","","","","","","",""
"demographics","email","E-mail","Contact Information: E-mail","string","email","","","","","","","","","","","","","","","","","","","","","",""
"demographics","sex","Gender","Contact Information: Gender","integer","","","0|1","","","0=Female|1=Male","","","","","","","","","","","","","","","","",""
"demographics","given_birth","Has the subject given birth before?","Contact Information: Has the subject given birth before?","integer","","","0|1","","","0=No|1=Yes","","","","","","","","","","","","","","","","",""
"demographics","num_children","How many times has the subject given birth?","Contact Information: How many times has the subject given birth?","integer","","","","","","","","","","","","","","","","","","","","","","",""
"demographics","ethnicity","Ethnicity","Contact Information: Ethnicity","integer","","","0|1|2","","","0=Hispanic or Latino|1=NOT Hispanic or Latino|2=Unknown / Not Reported","","","","","","","","","","","","","","","","",""
